index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling,polution
230,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0522011,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.1541792508476743
244,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0143A,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.0386888792781004
265,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R557,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.4620370677953092
266,EEA_3161-02-2,2009,2009-01--2009-12,FRB1R557,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.4497948436817898
268,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R562,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5186616418263881
273,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0522011,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.0429636994321157
301,EEA_3161-01-1,2009,2009-01--2009-12,ES12118,Spain,93.6771974435832,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.1541792508476743
319,EEA_3161-03-3,2009,2009-04--2009-10,FRGR0178A,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8846844750272106
324,EEA_31615-01-7,2009,2009-01--2009-12,FRDR173B,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5168090870926692
327,EEA_31615-01-7,2009,2009-01--2009-12,FRDR172,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8670710754861429
330,EEA_31615-01-7,2009,2009-01--2009-12,FRCR127,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8931162663151944
331,EEA_3161-02-2,2009,2009-01--2009-12,FRCR127,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6008076340521433
334,EEA_3161-03-3,2009,2009-01--2009-12,FRHR321,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5948604752956338
338,EEA_3161-05-5,2009,2009-01--2009-12,FRHR317-I4310600,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.8661601366375795
340,EEA_31615-01-7,2009,2009-01--2009-12,FRHR317-I4310600,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.96568756594968
344,EEA_3161-05-5,2009,2009-01--2009-12,FRHR354-I5030600,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.2103563858448745
353,EEA_3161-01-1,2009,2009-01--2009-12,FRHR317-I4310600,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5452270504833231
361,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0002,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
378,EEA_3161-01-1,2009,2009-01--2009-12,FRHR354-I5030600,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.4906227123668177
381,EEA_3161-02-2,2009,2009-01--2009-12,FRHR314,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.7889421710344378
384,EEA_3161-02-2,2009,2009-01--2009-12,FRHR317-I4310600,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.8586109384377667
391,EEA_3161-02-2,2009,2009-01--2009-12,FRHR315,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.6202314520432597
397,EEA_31615-01-7,2009,2009-01--2009-12,FRHR354-I5030600,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.3729177924115592
417,EEA_31615-01-7,2009,2009-01--2009-12,FRFR183,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.9236396622151932
426,EEA_3161-03-3,2009,2009-01--2009-12,FRGR0460C,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6659630166317883
450,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006806,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.121416941321373
453,EEA_3161-02-2,2007,2007-01--2007-12,UKSC010000,United Kingdom,274.70898193692403,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.045563067578294
475,EEA_3161-05-5,2008,2008-01--2008-12,FRDR1414,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.751331179418854
476,EEA_3161-02-2,2008,2008-01--2008-12,FRDR1414,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.7129988262625464
479,EEA_3161-05-5,2008,2008-01--2008-12,FRDR490,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5629547787247429
480,EEA_3161-02-2,2008,2008-01--2008-12,FRDR490,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5344995713518326
484,EEA_3161-01-1,2008,2008-01--2008-12,FRDR1414,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
487,EEA_3161-01-1,2008,2008-01--2008-12,FRDR490,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
501,EEA_31615-01-7,2008,2008-01--2008-12,FRDR541A,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8895524282840398
523,EEA_3161-05-5,2008,2008-01--2008-12,FRDR2023,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.3430909984966785
524,EEA_31615-01-7,2008,2008-01--2008-12,FRDR2023,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6254634517716221
537,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0411B,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8093868035453
552,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0361,France,122.299437237519,71176346.0,5.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.3969053647698249
554,EEA_3161-03-3,2008,2008-01--2008-12,FRGR0433,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6309759884199243
560,EEA_31615-01-7,2008,2008-01--2008-12,FRGR0433,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,2.3223112467779656
562,EEA_3161-01-1,2008,2008-01--2008-12,FRGR0361,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6106711397311656
563,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0444,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.3835932163107083
584,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0167A,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.4974420984593204
591,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0004A,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5951665883761953
598,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.860029327365722
599,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0004A,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.7932594482257509
610,EEA_3161-01-1,2009,2009-01--2009-12,FRCR69,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.3965367015790845
618,EEA_31615-01-7,2009,2009-01--2009-12,FRGR0167A,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.6453415918471137
628,EEA_3161-05-5,2009,2009-01--2009-12,FRGR0004A,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8938487846353294
634,EEA_3161-05-5,2009,2009-01--2009-12,FRCR78,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.298211501206493
636,EEA_3161-05-5,2009,2009-01--2009-12,FRCR20,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.1633570385390737
637,EEA_31615-01-7,2009,2009-01--2009-12,FRCR20,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.308332819650179
646,EEA_3161-05-5,2009,2009-01--2009-12,FRDR174,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8678355116047518
653,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010493,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.277025492263252
654,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010492,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.2028592080115026
655,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010657,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.9707789171582248
656,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010610,United Kingdom,274.70898193692403,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.7450278024369342
658,EEA_3161-02-2,2006,2006-01--2006-12,UKSC010484,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.7561322915849038
674,EEA_3161-03-3,2008,2008-01--2008-12,FRGR1026,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8431779566553383
681,EEA_3161-02-2,2008,2008-01--2008-12,FRGR0460C,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.981518576522681
685,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0520,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,2.3949682660176976
688,EEA_3161-05-5,2008,2008-01--2008-12,FRGR0524,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,2.113311426187451
724,EEA_31615-01-7,2008,2008-01--2008-12,FRHR77,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,2.056407022442607
726,EEA_3161-05-5,2008,2008-01--2008-12,FRHR79,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.9490751351984696
727,EEA_31615-01-7,2008,2008-01--2008-12,FRHR79,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.9770820739252075
728,EEA_3161-02-2,2008,2008-01--2008-12,FRHR79,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.94185049121276
730,EEA_3161-01-1,2008,2008-01--2008-12,FRDR182,France,122.299437237519,71176346.0,4.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
733,EEA_3161-01-1,2008,2008-01--2008-12,FRDR136B,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
734,EEA_3161-05-5,2008,2008-01--2008-12,FRDR136B,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.4574824403170595
735,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11502,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6931471805599453
736,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11502,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8291106133757504
744,EEA_3161-01-1,2008,2008-01--2008-12,FRDR11359,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5007752879124892
745,EEA_3161-05-5,2008,2008-01--2008-12,FRDR11359,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.985753359674997
760,EEA_3161-05-5,2008,2008-01--2008-12,FRDR182,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.897515576547821
761,EEA_3161-02-2,2008,2008-01--2008-12,FRDR182,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.8726439179724698
769,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R723,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.4118597634501706
797,EEA_3161-03-3,2009,2009-06--2009-08,FRGR0229,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.7232446726335217
802,EEA_3161-01-1,2009,2009-01--2009-12,FRGR0286,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5784840853239
803,EEA_3161-03-3,2009,2009-01--2009-12,FRB1R557,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.9136753146503324
806,EEA_3161-01-1,2009,2009-01--2009-12,FRB1R562,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.6505877400541776
808,EEA_3161-05-5,2009,2009-01--2009-12,FRB1R562,France,122.299437237519,71176346.0,1.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.1834159526740606
814,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0522011,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.1158255655055904
815,EEA_31615-01-7,2009,2009-01--2009-12,ES12113,Spain,93.6771974435832,50941692.0,6.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.8846762181048131
818,EEA_3161-03-3,2009,2009-01--2009-12,ES030MSPF0404021,Spain,93.6771974435832,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1.1609922317514696
825,EEA_3161-03-3,2009,2009-01--2009-12,ES12121,Spain,93.6771974435832,50941692.0,0.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1.0143607362205185
839,EEA_3161-03-3,2009,2009-01--2009-12,ES12120,Spain,93.6771974435832,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1.989762974535156
842,EEA_31615-01-7,2009,2009-01--2009-12,ES12118,Spain,93.6771974435832,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.2231435513142097
850,EEA_31615-01-7,2009,2009-01--2009-12,ES12120,Spain,93.6771974435832,50941692.0,4.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,3.323235840192444
854,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0404021,Spain,93.6771974435832,50941692.0,5.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1.516642567779391
855,EEA_3161-03-3,2009,2009-01--2009-12,ES12118,Spain,93.6771974435832,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.1072387506695986
863,EEA_3161-02-2,2009,2009-01--2009-12,FRGR0144A,France,122.299437237519,71176346.0,2.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.0664609286510247
870,EEA_3161-05-5,2009,2009-01--2009-12,ES030MSPF0310010,Spain,93.6771974435832,50941692.0,2.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,1.3667546992452737
872,EEA_3161-01-1,2009,2009-01--2009-12,ES030MSPF0329010,Spain,93.6771974435832,50941692.0,3.0,87.15892367892796,49.0,8.0,3.0,14.0,15.0,9.0,0.0,0.0,16.84,0.1541792508476743
875,EEA_3161-01-1,2009,2009-01--2009-12,FRCR90,France,122.299437237519,71176346.0,3.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.4537262434776454
884,EEA_3161-03-3,2009,2009-01--2009-12,FRCR22,France,122.299437237519,71176346.0,7.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.3211627855873447
887,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005105,United Kingdom,274.70898193692403,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.8213182714695997
888,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005266,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.523509585098038
890,EEA_31615-01-7,2007,2007-01--2007-12,UKSC005220,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.117041424136477
898,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010642,United Kingdom,274.70898193692403,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.1107713994919195
901,EEA_3161-02-2,2007,2007-01--2007-12,UKSC004000,United Kingdom,274.70898193692403,25867961.0,5.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.7552683606456398
902,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006834,United Kingdom,274.70898193692403,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.2023692520977326
927,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010757,United Kingdom,274.70898193692403,25867961.0,2.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.0571998420875626
931,EEA_31615-01-7,2007,2007-01--2007-12,UKSC023000,United Kingdom,274.70898193692403,25867961.0,4.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.4580575582273349
934,EEA_31615-01-7,2007,2007-01--2007-12,UKSC020563,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.1106465200870636
937,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010493,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.5360254247877329
944,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010492,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.5118051438794908
945,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010657,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.0924936076599323
946,EEA_31615-01-7,2007,2007-01--2007-12,UKSC010484,United Kingdom,274.70898193692403,25867961.0,1.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,1.9812359241384188
950,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006499,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.1466943791508034
953,EEA_3161-02-2,2007,2007-01--2007-12,UKSC006800,United Kingdom,274.70898193692403,25867961.0,0.0,0.0,16.7,2.2,3.5,28.2,18.9,20.2,0.0,2.7,27.25,0.8236489886241034
976,EEA_31615-01-7,2008,2008-01--2008-12,FRDR2031,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.5455713390353043
988,EEA_3161-05-5,2008,2008-01--2008-12,FRDR91,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.188052602931442
989,EEA_3161-02-2,2008,2008-01--2008-12,FRDR91,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.1718098350570748
992,EEA_3161-02-2,2008,2008-01--2008-12,FRDR2031,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,0.2034256244308488
995,EEA_31615-01-7,2008,2008-01--2008-12,FRDR1060,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26,1.450320250884449
